name,imageUrl,area,profileUrl,office,tags,isLoggedUser,positionName,id,parentId,size
Sibyle Veil,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Présidente-Directrice générale ,O-0,,
Emmanuelle Daviet,./directory/RF_Bleu_RVB.png,Transverse,,,"long_logo, indépendant",FAUX,Médiatrice des antennes,O-1,O-0,
Xavier Domino,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Secrétaire général,O-01,O-0,
Marie Message,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,"Directrice générale adjointe, en charge des moyens et des organisations",O-02,O-0,
Cécilia Ragueneau,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice des marques et du développement,O-03,O-0,
Michel Casciani,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur des ressources humaines,O-04,O-0,
Catherine Doumid,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice de la communication et des relations publiques,O-05,O-0,
Vincent Giret,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur de l'information et des sports,O-06,O-0,
Laurent Frisch,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur du numérique et de la production,O-07,O-0,
Dana Hastier,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice des antennes et de la stratégie éditoriale,O-08,O-0,
Michel Orier,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur de la musique et de la création,O-09,O-0,
Emmanuelle Henry,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice des Études et de la prospective,O-031,O-03,
Pascal Girodias,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur de la régie publicitaire,O-032,O-03,
Bruno Laforestrie,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur du développement et du studio Radio France,O-033,O-03,
Elsa Comby,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Secrétaire générale adjointe en charge des relations institutionnelles et internationales,O-011,O-01,
Jean-Michel Orion,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur des affaires juridiques,O-012,O-01,
Sandrine Baudel,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice des achats,O-013,O-01,
Responsabilité sociale en entreprise,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,,O-014,O-01,
Annick Lecomte-Rue,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,"Directrice de l'audit, du contrôle interne, et de l'éthique",O-015,O-01,
Mathieu Amiot,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur des finances,O-021,O-02,
Sidonie Guénin,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice de la réhabilitation,O-022,O-02,
Tami  Mouri,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur de l'établissement,O-023,O-02,
Patrick Fasso,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur de la technique et des systèmes d'information,O-024,O-02,
Céline Boyer,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice de la mission d'accompagnement de la transformation,O-025,O-02,
Antoine de Galzain,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur du développement social,O-041,O-04,
Anne-Françoise Lyasse,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice du développement RH,O-042,O-04,
Jean-François Maison,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Secrétaire général des rédactions,O-043,O-04,
Catherine Auguin,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,"Directice de l'administration, de la paie, et du SIRH",O-044,O-04,
Sophie Coudreuse,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice responsable de l'égalité des chances,O-045,O-04,
Céline Fulgence,./directory/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice de la formation,O-046,O-04,
