name,imageUrl,area,profileUrl,office,tags,isLoggedUser,positionName,id,parentId,size
Sibyle Veil,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Présidente-Directrice générale ,O-0,,
Emmanuelle Daviet,../static/RF_Bleu_RVB.png,Transverse,,,"long_logo, indépendant",FAUX,Médiatrice des antennes,O-01,O-0,
Fonctions transverses,,Transverse,,,divider,FAUX,,O-02,O-0,
Antennes et contenus,,Transverse,,,divider,FAUX,,O-03,O-0,
Musique,,Transverse,,,divider,FAUX,,O-04,O-0,
Xavier Domino,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Secrétaire général,O-021,O-02,
Marie Message,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,"Directrice générale adjointe, en charge des moyens et des organisations",O-022,O-02,
Cécilia Ragueneau,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice des marques et du développement,O-023,O-02,
Michel Casciani,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur des ressources humaines,O-024,O-02,
Catherine Doumid,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice de la communication et des relations publiques,O-025,O-02,
Vincent Giret,../static/RF_Bleu_RVB.png,Antennes et contenus,,,long_logo,FAUX,Directeur de l'information et des sports,O-026,O-02,
Laurent Frisch,../static/RF_Bleu_RVB.png,Antennes et contenus,,,long_logo,FAUX,Directeur du numérique et de la production,O-027,O-02,
Dana Hastier,../static/RF_Bleu_RVB.png,Antennes et contenus,,,long_logo,FAUX,Directrice des antennes et de la stratégie éditoriale,O-028,O-03,
Michel Orier,../static/RF_Bleu_RVB.png,Musique,,,long_logo,FAUX,Directeur de la musique et de la création,O-029,O-04,
Emmanuelle Henry,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice des Études et de la prospective,O-0231,O-023,
Pascal Girodias,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur de la régie publicitaire,O-0232,O-023,
Bruno Laforestrie,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur du développement et du studio Radio France,O-0233,O-023,
Elsa Comby,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Secrétaire générale adjointe en charge des relations institutionnelles et internationales,O-0211,O-021,
Jean-Michel Orion,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur des affaires juridiques,O-0212,O-021,
Sandrine Baudel,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice des achats,O-0213,O-021,
Responsabilité sociale en entreprise,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,,O-0214,O-021,
Annick Lecomte-Rue,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,"Directrice de l'audit, du contrôle interne, et de l'éthique",O-0215,O-021,
Mathieu Amiot,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur des finances,O-0221,O-022,
Sidonie Guénin,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directrice de la réhabilitation,O-0222,O-022,
Tami  Mouri,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur de l'établissement,O-0223,O-022,
Patrick Fasso,../static/RF_Bleu_RVB.png,Transverse,,,long_logo,FAUX,Directeur de la technique et des systèmes d'information,O-0224,O-022,
